2014-5-9,13:33:36,
TSL,SANTEC,TSL-510,13050006,0002.0082,
OPM,HEWLETT-PACKARD,HP8163A,DE38705993,V4.50(24037),
,Agilent Technologies,81619A,DE41201466,V4.01(1126),
,Agilent Technologies,81619A,DE38701300,V4.06(71686),
Start,1288.000000,nm
Stop,1300.000000,nm
Step,0.001000,nm
Speed,40.000000,nm/s
Source power,0.000000,dBm
Averaging Time,0.000100,s
Power range,0.0000,dBm
Wavelength(nm),Loss Slot1-Ch1(dB),
1288.29900000,-38.90981614,
1288.30000000,-38.80219579,
1288.30100000,-38.63530123,
1288.30200000,-38.47344644,
1288.30300000,-38.31843766,
1288.30400000,-38.58873020,
1288.30500000,-39.29336860,
1288.30600000,-40.13694500,
1288.30700000,-41.17947421,
1288.30800000,-41.56244661,
1288.30900000,-40.96221081,
1288.31000000,-40.43425353,
1288.31100000,-39.96316248,
1288.31200000,-39.69376503,
1288.31300000,-39.69426075,
1288.31400000,-39.69379761,
1288.31500000,-39.69602375,
1288.31600000,-39.69384923,
1288.31700000,-39.69419628,
1288.31800000,-39.69329992,
1288.31900000,-39.69302509,
1288.32000000,-39.64847384,
1288.32100000,-39.43259388,
1288.32200000,-39.22712458,
1288.32300000,-39.03191454,
1288.32400000,-39.11618967,
1288.32500000,-39.74214421,
1288.32600000,-40.47510763,
1288.32700000,-41.35854724,
1288.32800000,-41.50781367,
1288.32900000,-40.87925314,
1288.33000000,-40.33065363,
1288.33100000,-39.84313167,
1288.33200000,-39.26832356,
1288.33300000,-38.70105214,
1288.33400000,-38.19920868,
1288.33500000,-37.75030616,
1288.33600000,-38.02959680,
1288.33700000,-38.51186193,
1288.33800000,-39.05211586,
1288.33900000,-39.67185174,
1288.34000000,-39.68862519,
1288.34100000,-39.68850305,
1288.34200000,-39.69093388,
1288.34300000,-39.69004123,
1288.34400000,-39.69232156,
1288.34500000,-39.69152356,
1288.34600000,-39.69192335,
1288.34700000,-39.63080123,
1288.34800000,-39.41680883,
1288.34900000,-39.21359888,
1288.35000000,-39.01902676,
1288.35100000,-38.91168313,
1288.35200000,-38.91376938,
1288.35300000,-38.91283902,
1288.35400000,-38.91459981,
1288.35500000,-38.80676053,
1288.35600000,-38.63042014,
1288.35700000,-38.46133295,
1288.35800000,-38.29461231,
1288.35900000,-38.25536946,
1288.36000000,-38.25289969,
1288.36100000,-38.25284145,
1288.36200000,-38.25392585,
1288.36300000,-38.37117130,
1288.36400000,-38.52725318,
1288.36500000,-38.69110132,
1288.36600000,-38.86200624,
1288.36700000,-39.16331904,
1288.36800000,-39.54944163,
1288.36900000,-39.97541047,
1288.37000000,-40.44733605,
1288.37100000,-40.64913496,
1288.37200000,-40.64988114,
1288.37300000,-40.64939901,
1288.37400000,-40.64971313,
1288.37500000,-40.51570636,
1288.37600000,-40.26972551,
1288.37700000,-40.03656534,
1288.37800000,-39.81419348,
